X, Y, Z
7654.38,6081.15,7375.25
7655.4,6081.07,7375.87
7658.28,6080.85,7377.63
7662.76,6080.48,7380.37
7668.58,6079.94,7383.92
7675.49,6079.24,7388.13
7683.23,6078.38,7392.84
7691.54,6077.34,7397.88
7700.16,6076.12,7403.09
7708.83,6074.72,7408.32
7717.31,6073.12,7413.4
7725.42,6071.34,7418.24
7733.16,6069.38,7422.84
7740.56,6067.24,7427.23
7747.63,6064.94,7431.42
7754.38,6062.47,7435.43
7760.84,6059.86,7439.27
7767,6057.1,7442.96
7772.9,6054.21,7446.52
7778.55,6051.18,7449.98
7783.96,6048.04,7453.34
7789.14,6044.78,7456.62
7794.12,6041.42,7459.84
7798.92,6037.97,7463.02
7803.53,6034.42,7466.18
7807.99,6030.79,7469.33
7812.3,6027.09,7472.5
7816.48,6023.32,7475.69
7820.55,6019.49,7478.93
7824.53,6015.61,7482.23
7828.42,6011.69,7485.61
7832.25,6007.73,7489.1
7836.02,6003.74,7492.68
7839.73,5999.72,7496.36
7843.38,5995.67,7500.14
7846.97,5991.58,7504.02
7850.51,5987.46,7507.98
7853.99,5983.32,7512.04
7857.42,5979.14,7516.18
7860.8,5974.94,7520.4
7864.13,5970.71,7524.71
7867.42,5966.45,7529.09
7870.65,5962.16,7533.55
7873.84,5957.85,7538.08
7876.99,5953.51,7542.69
7880.09,5949.15,7547.36
7883.15,5944.76,7552.1
7886.17,5940.35,7556.9
7889.15,5935.92,7561.76
7892.09,5931.46,7566.69
7895,5926.99,7571.66
7897.87,5922.49,7576.69
7900.71,5917.97,7581.77
7903.51,5913.43,7586.9
7906.29,5908.87,7592.08
7909.03,5904.29,7597.29
7911.75,5899.7,7602.55
7914.44,5895.08,7607.85
7917.1,5890.45,7613.18
7919.74,5885.81,7618.54
7922.36,5881.15,7623.93
7924.96,5876.47,7629.35
7927.53,5871.78,7634.8
7930.09,5867.07,7640.27
7932.63,5862.36,7645.75
7935.15,5857.63,7651.26
7937.66,5852.88,7656.78
7940.15,5848.13,7662.31
7942.64,5843.37,7667.85
7945.11,5838.59,7673.4
7947.57,5833.81,7678.96
7950.02,5829.02,7684.51
7952.47,5824.22,7690.06
7954.91,5819.41,7695.62
7957.35,5814.6,7701.16
7959.79,5809.78,7706.7
