region,parent,family,mark
OT1-3,OT,STR,bottom
OT1,OT,STR,bottom
OT2,OT,STR,bottom
OT3,OT,STR,bottom
LSS,LSS,STR,bottom
LSX,STR,STR,upper
LS,LS,STR,bottom
LSc,LS,STR,bottom
LSr,LS,STR,bottom
LSv,LS,STR,bottom
SF,SF,STR,bottom
SH,SH,STR,bottom
sAMY,STR,STR,upper
AAA,AAA,STR,bottom
BA,BA,STR,bottom
CEA,CEA,STR,bottom
CEAc,CEA,STR,bottom
CEAl,CEA,STR,bottom
CEAm,CEA,STR,bottom
IA,IA,STR,bottom
MEA,MEA,STR,bottom
MEAad,MEA,STR,bottom
MEAav,MEA,STR,bottom
MEApd,MEA,STR,bottom
MEApd-a,MEA,STR,bottom
MEApd-b,MEA,STR,bottom
MEApd-c,MEA,STR,bottom
MEApv,MEA,STR,bottom
PAL,PAL,PAL,upper
PALd,PAL,PAL,upper
GPe,GPe,PAL,bottom
GPi,GPi,PAL,bottom
PALv,PAL,PAL,upper
SI,SI,PAL,bottom
MA,MA,PAL,bottom
PALm,PAL,PAL,upper
MSC,PAL,PAL,upper
MS,MS,PAL,bottom
NDB,NDB,PAL,bottom
TRS,TRS,PAL,bottom
PALc,PAL,PAL,upper
BST,BST,PAL,bottom
BSTa,BST,PAL,bottom
BSTal,BST,PAL,bottom
BSTam,BST,PAL,bottom
BSTdm,BST,PAL,bottom
BSTfu,BST,PAL,bottom
BSTju,BST,PAL,bottom
BSTmg,BST,PAL,bottom
BSTov,BST,PAL,bottom
BSTrh,BST,PAL,bottom
BSTv,BST,PAL,bottom
BSTp,BST,PAL,bottom
BSTd,BST,PAL,bottom
BSTpr,BST,PAL,bottom
BSTif,BST,PAL,bottom
BSTtr,BST,PAL,bottom
BSTse,BST,PAL,bottom
BAC,BAC,PAL,bottom
BS,root,root,excluded
IB,root,root,excluded
TH,TH,TH,upper
DORsm,TH,TH,upper
VENT,TH,TH,upper
VAL,VAL,TH,bottom
VM,VM,TH,bottom
VP,VP,TH,bottom
VPL,VP,TH,bottom
VPLpc,VP,TH,bottom
VPM,VP,TH,bottom
VPMpc,VP,TH,bottom
PoT,PoT,TH,bottom
SPF,TH,TH,upper
SPFm,SPFm,TH,bottom
SPFp,SPFp,TH,bottom
SPA,SPA,TH,bottom
PP,PP,TH,bottom
GENd,TH,TH,upper
MG,MG,TH,bottom
MGd,MG,TH,bottom
MGv,MG,TH,bottom
MGm,MG,TH,bottom
LGd,LGd,TH,bottom
LGd-sh,LGd,TH,bottom
LGd-co,LGd,TH,bottom
LGd-ip,LGd,TH,bottom
DORpm,TH,TH,upper
LAT,TH,TH,upper
LP,LP,TH,bottom
PO,PO,TH,bottom
POL,POL,TH,bottom
SGN,SGN,TH,bottom
Eth,Eth,TH,bottom
REth,REth,TH,bottom
ATN,TH,TH,upper
