X, Y, Z
8151.66,5870,3402.32
8151.64,5869.7,3401.92
8151.58,5868.83,3400.73
8151.47,5867.4,3398.79
8151.32,5865.44,3396.14
8151.13,5862.97,3392.81
8150.89,5860.03,3388.83
8150.61,5856.63,3384.24
8150.29,5852.81,3379.07
8149.92,5848.57,3373.35
8149.51,5843.96,3367.12
8149.05,5838.99,3360.41
8148.55,5833.7,3353.26
8148.01,5828.09,3345.7
8147.42,5822.21,3337.77
8146.78,5816.07,3329.49
8146.1,5809.69,3320.9
8145.38,5803.11,3312.04
8144.61,5796.35,3302.94
8143.79,5789.44,3293.64
8142.93,5782.39,3284.16
8142.02,5775.23,3274.55
8141.06,5767.99,3264.83
8140.06,5760.69,3255.04
8139.02,5753.36,3245.22
8137.92,5746.02,3235.39
8136.78,5738.7,3225.6
8135.59,5731.42,3215.87
8134.35,5724.21,3206.24
8133.07,5717.09,3196.74
8131.74,5710.08,3187.42
8130.36,5703.22,3178.29
8128.93,5696.52,3169.4
8127.46,5690.01,3160.78
8125.93,5683.71,3152.46
8124.36,5677.66,3144.49
8122.74,5671.87,3136.88
8121.07,5666.37,3129.68
8119.35,5661.18,3122.91
8117.58,5656.34,3116.62
8115.76,5651.85,3110.84
8113.89,5647.76,3105.6
8111.97,5644.08,3100.94
8110,5640.84,3096.88
8107.99,5638.06,3093.47
8105.92,5635.77,3090.74
8103.8,5634,3088.71
8101.63,5632.76,3087.43
8099.4,5632.08,3086.94
8097.13,5631.99,3087.25
8094.81,5632.51,3088.41
8092.43,5633.67,3090.45
8090,5635.49,3093.41
8087.53,5638,3097.31
8085,5641.16,3102.12
8082.45,5644.83,3107.62
8079.88,5648.85,3113.6
8077.32,5653.08,3119.85
8074.79,5657.36,3126.14
8072.31,5661.54,3132.28
8069.88,5665.47,3138.03
8067.53,5669.05,3143.25
8065.25,5672.26,3147.96
8063.05,5675.13,3152.14
8060.92,5677.66,3155.82
8058.85,5679.84,3159
8056.86,5681.69,3161.69
8054.94,5683.22,3163.91
8053.09,5684.42,3165.65
8051.3,5685.3,3166.94
8049.58,5685.88,3167.77
8047.93,5686.15,3168.16
8046.34,5686.12,3168.12
8044.81,5685.8,3167.66
8043.35,5685.19,3166.79
8041.95,5684.3,3165.51
8040.61,5683.14,3163.84
8039.33,5681.7,3161.78
8038.11,5680,3159.35
8036.95,5678.04,3156.56
8035.84,5675.83,3153.41
8034.79,5673.37,3149.91
8033.79,5670.67,3146.07
8032.85,5667.74,3141.91
8031.97,5664.57,3137.43
8031.13,5661.18,3132.64
8030.35,5657.58,3127.55
8029.61,5653.76,3122.17
8028.93,5649.73,3116.51
8028.29,5645.5,3110.58
8027.71,5641.08,3104.39
8027.17,5636.47,3097.95
8026.67,5631.67,3091.26
8026.22,5626.7,3084.34
8025.81,5621.55,3077.2
8025.45,5616.24,3069.84
8025.13,5610.76,3062.28
8024.85,5605.13,3054.52
8024.61,5599.36,3046.58
8024.41,5593.43,3038.46
8024.24,5587.38,3030.18
8024.12,5581.18,3021.73
8024.03,5574.87,3013.14
8023.97,5568.43,3004.41
8023.95,5561.88,2995.56
8023.97,5555.21,2986.58
8024.01,5548.45,2977.49
8024.09,5541.59,2968.3
8024.2,5534.63,2959.02
8024.34,5527.59,2949.66
8024.5,5520.47,2940.22
8024.7,5513.28,2930.73
8024.92,5506.02,2921.18
8025.17,5498.69,2911.58
8025.44,5491.31,2901.95
8025.73,5483.87,2892.3
8026.05,5476.39,2882.63
8026.4,5468.87,2872.95
8026.76,5461.31,2863.28
8027.14,5453.73,2853.62
8027.54,5446.12,2843.99
8027.96,5438.5,2834.38
8028.4,5430.87,2824.82
8028.86,5423.23,2815.3
8029.33,5415.59,2805.85
8029.81,5407.96,2796.46
8030.31,5400.34,2787.16
8030.82,5392.73,2777.94
8031.35,5385.15,2768.82
8031.88,5377.6,2759.81
8032.42,5370.08,2750.92
8032.98,5362.61,2742.15
8033.54,5355.18,2733.51
8034.11,5347.8,2725.03
8034.68,5340.48,2716.69
8035.26,5333.23,2708.53
8035.84,5326.04,2700.53
8036.43,5318.93,2692.72
8037.02,5311.9,2685.1
8037.61,5304.95,2677.68
8038.2,5298.1,2670.47
8038.79,5291.35,2663.48
8039.38,5284.69,2656.71
8039.97,5278.12,2650.14
8040.55,5271.64,2643.76
8041.13,5265.24,2637.58
