X, Y, Z
7654.38,6081.15,4001.08
7655.4,6081.07,4000.45
7658.28,6080.85,3998.7
7662.76,6080.48,3995.96
7668.58,6079.94,3992.41
7675.49,6079.24,3988.2
7683.23,6078.38,3983.49
7691.54,6077.34,3978.45
7700.16,6076.12,3973.24
7708.83,6074.72,3968.01
7717.31,6073.12,3962.93
7725.42,6071.34,3958.09
7733.16,6069.38,3953.48
7740.56,6067.24,3949.1
7747.63,6064.94,3944.91
7754.38,6062.47,3940.9
7760.84,6059.86,3937.06
7767,6057.1,3933.37
7772.9,6054.21,3929.8
7778.55,6051.18,3926.35
7783.96,6048.04,3922.99
7789.14,6044.78,3919.71
7794.12,6041.42,3916.49
7798.92,6037.97,3913.31
7803.53,6034.42,3910.15
7807.99,6030.79,3907
7812.3,6027.09,3903.83
7816.48,6023.32,3900.64
7820.55,6019.49,3897.4
7824.53,6015.61,3894.1
7828.42,6011.69,3890.72
7832.25,6007.73,3887.23
7836.02,6003.74,3883.65
7839.73,5999.72,3879.97
7843.38,5995.67,3876.19
7846.97,5991.58,3872.31
7850.51,5987.46,3868.35
7853.99,5983.32,3864.29
7857.42,5979.14,3860.15
7860.8,5974.94,3855.93
7864.13,5970.71,3851.62
7867.42,5966.45,3847.24
7870.65,5962.16,3842.78
7873.84,5957.85,3838.25
7876.99,5953.51,3833.64
7880.09,5949.15,3828.97
7883.15,5944.76,3824.23
7886.17,5940.35,3819.43
7889.15,5935.92,3814.56
7892.09,5931.46,3809.64
7895,5926.99,3804.67
7897.87,5922.49,3799.64
7900.71,5917.97,3794.55
7903.51,5913.43,3789.43
7906.29,5908.87,3784.25
7909.03,5904.29,3779.04
7911.75,5899.7,3773.78
7914.44,5895.08,3768.48
7917.1,5890.45,3763.15
7919.74,5885.81,3757.79
7922.36,5881.15,3752.4
7924.96,5876.47,3746.98
7927.53,5871.78,3741.53
7930.09,5867.07,3736.06
7932.63,5862.36,3730.57
7935.15,5857.63,3725.07
7937.66,5852.88,3719.55
7940.15,5848.13,3714.02
7942.64,5843.37,3708.48
7945.11,5838.59,3702.93
7947.57,5833.81,3697.37
7950.02,5829.02,3691.82
7952.47,5824.22,3686.26
7954.91,5819.41,3680.71
