X, Y, Z
8443.73,5330.8,2972.43
8445.93,5325.15,2966.78
8448.04,5319.44,2961.16
8450.05,5313.67,2955.56
8451.98,5307.84,2949.98
8453.82,5301.95,2944.44
8455.58,5296.01,2938.91
8457.25,5290.02,2933.41
8458.85,5283.97,2927.93
8460.36,5277.87,2922.48
8461.8,5271.72,2917.05
8463.16,5265.52,2911.64
8464.45,5259.27,2906.26
8465.67,5252.98,2900.9
8466.82,5246.64,2895.56
8467.9,5240.25,2890.25
8468.92,5233.83,2884.95
8469.87,5227.36,2879.68
8470.76,5220.85,2874.44
8471.59,5214.3,2869.21
8472.36,5207.72,2864.01
8473.07,5201.1,2858.82
8473.74,5194.44,2853.66
8474.34,5187.75,2848.52
8474.9,5181.03,2843.4
8475.41,5174.27,2838.3
8475.87,5167.49,2833.23
8476.29,5160.68,2828.17
8476.66,5153.84,2823.13
8476.99,5146.97,2818.12
8477.28,5140.08,2813.12
8477.53,5133.17,2808.14
8477.75,5126.23,2803.19
8477.94,5119.27,2798.25
8478.09,5112.3,2793.33
8478.21,5105.3,2788.43
8478.3,5098.29,2783.55
8478.37,5091.26,2778.69
8478.41,5084.22,2773.84
8478.43,5077.16,2769.02
8478.43,5070.09,2764.21
8478.41,5063.01,2759.42
8478.37,5055.92,2754.65
8478.31,5048.83,2749.9
8478.25,5041.72,2745.16
8478.17,5034.62,2740.45
8478.08,5027.5,2735.74
8477.98,5020.38,2731.06
8477.88,5013.26,2726.39
8477.77,5006.14,2721.74
8477.65,4999.01,2717.11
8477.53,4991.88,2712.5
8477.4,4984.74,2707.9
8477.26,4977.6,2703.32
8477.13,4970.45,2698.76
8476.99,4963.3,2694.21
8476.84,4956.15,2689.69
8476.7,4948.99,2685.18
8476.55,4941.82,2680.69
8476.4,4934.65,2676.22
8476.25,4927.48,2671.77
8476.11,4920.29,2667.34
8475.96,4913.11,2662.93
8475.81,4905.91,2658.53
8475.67,4898.71,2654.16
8475.53,4891.51,2649.8
8475.39,4884.29,2645.47
8475.26,4877.08,2641.15
8475.13,4869.85,2636.86
8475.01,4862.62,2632.58
8474.89,4855.38,2628.32
8474.78,4848.13,2624.08
8474.68,4840.88,2619.87
8474.58,4833.62,2615.67
8474.49,4826.35,2611.5
8474.42,4819.07,2607.34
8474.35,4811.79,2603.21
8474.29,4804.5,2599.1
8474.24,4797.19,2595
8474.2,4789.89,2590.93
8474.18,4782.57,2586.88
8474.17,4775.24,2582.85
8474.17,4767.91,2578.85
8474.18,4760.56,2574.86
8474.21,4753.21,2570.9
8474.26,4745.85,2566.96
8474.32,4738.48,2563.04
8474.39,4731.1,2559.14
8474.49,4723.71,2555.27
8474.6,4716.3,2551.42
8474.73,4708.89,2547.59
8474.87,4701.47,2543.78
8475.04,4694.04,2540
8475.23,4686.6,2536.24
8475.44,4679.15,2532.5
8475.67,4671.69,2528.78
8475.92,4664.21,2525.09
8476.19,4656.73,2521.42
8476.49,4649.23,2517.78
8476.81,4641.72,2514.16
8477.15,4634.21,2510.56
8477.52,4626.67,2506.99
8477.92,4619.13,2503.44
8478.34,4611.58,2499.92
8478.79,4604.01,2496.42
8479.26,4596.43,2492.94
8479.76,4588.84,2489.49
8480.28,4581.24,2486.06
8480.82,4573.63,2482.66
8481.38,4566,2479.28
8481.96,4558.36,2475.93
8482.56,4550.71,2472.6
8483.18,4543.05,2469.29
8483.8,4535.38,2466.01
8484.44,4527.69,2462.75
8485.1,4519.99,2459.52
8485.76,4512.28,2456.31
8486.43,4504.56,2453.12
8487.11,4496.83,2449.96
8487.79,4489.09,2446.82
8488.48,4481.34,2443.7
8489.17,4473.57,2440.61
8489.86,4465.79,2437.54
8490.55,4458.01,2434.49
8491.25,4450.21,2431.47
8491.93,4442.4,2428.47
8492.62,4434.57,2425.5
8493.3,4426.74,2422.55
8493.97,4418.9,2419.62
8494.63,4411.04,2416.71
8495.28,4403.18,2413.83
8495.92,4395.3,2410.97
8496.55,4387.41,2408.13
8497.17,4379.52,2405.32
8497.76,4371.61,2402.53
8498.35,4363.69,2399.76
8498.91,4355.76,2397.01
8499.45,4347.82,2394.29
8499.97,4339.87,2391.59
8500.47,4331.91,2388.91
8500.95,4323.93,2386.26
8501.4,4315.95,2383.63
8501.82,4307.96,2381.02
8502.21,4299.96,2378.43
8502.58,4291.94,2375.86
8502.91,4283.92,2373.32
8503.21,4275.89,2370.8
8503.47,4267.84,2368.3
8503.7,4259.79,2365.83
8503.9,4251.73,2363.37
8504.05,4243.65,2360.94
8504.17,4235.57,2358.53
8504.24,4227.48,2356.14
8504.27,4219.37,2353.78
8504.26,4211.26,2351.43
8504.2,4203.14,2349.11
8504.09,4195,2346.81
8503.94,4186.86,2344.53
8503.73,4178.71,2342.27
8503.48,4170.55,2340.04
8503.18,4162.38,2337.83
8502.84,4154.2,2335.65
8502.45,4146.02,2333.49
8502.02,4137.82,2331.37
8501.55,4129.62,2329.28
8501.05,4121.4,2327.22
8500.51,4113.19,2325.19
8499.94,4104.96,2323.2
8499.34,4096.73,2321.25
8498.71,4088.49,2319.35
8498.05,4080.24,2317.48
8497.37,4071.98,2315.66
8496.66,4063.73,2313.88
8495.93,4055.46,2312.15
8495.18,4047.19,2310.47
8494.42,4038.91,2308.84
8493.64,4030.63,2307.26
8492.84,4022.34,2305.73
8492.04,4014.05,2304.26
8491.23,4005.76,2302.85
8490.4,3997.46,2301.5
8489.58,3989.16,2300.21
8488.75,3980.85,2298.99
8487.91,3972.54,2297.82
8487.08,3964.23,2296.73
8486.25,3955.91,2295.7
8485.42,3947.59,2294.74
8484.61,3939.27,2293.85
8483.79,3930.95,2293.04
8482.99,3922.62,2292.3
8482.2,3914.29,2291.64
8481.43,3905.97,2291.05
8480.67,3897.64,2290.55
8479.93,3889.31,2290.12
8479.21,3880.98,2289.79
8478.5,3872.65,2289.53
8477.83,3864.32,2289.37
8477.18,3855.98,2289.29
8476.56,3847.65,2289.3
8475.96,3839.32,2289.41
8475.4,3831,2289.61
8474.88,3822.67,2289.9
8474.38,3814.34,2290.29
8473.93,3806.02,2290.79
8473.51,3797.69,2291.38
8473.13,3789.37,2292.07
8472.78,3781.06,2292.85
8472.46,3772.74,2293.73
8472.17,3764.43,2294.7
8471.9,3756.13,2295.76
8471.66,3747.83,2296.91
8471.43,3739.54,2298.14
8471.23,3731.25,2299.47
8471.03,3722.97,2300.87
8470.85,3714.69,2302.35
8470.68,3706.43,2303.92
8470.52,3698.17,2305.56
8470.36,3689.92,2307.27
8470.21,3681.68,2309.06
8470.05,3673.45,2310.93
8469.89,3665.24,2312.86
8469.73,3657.03,2314.86
8469.56,3648.83,2316.92
8469.38,3640.65,2319.06
8469.18,3632.48,2321.25
8468.97,3624.32,2323.5
8468.74,3616.18,2325.82
8468.49,3608.05,2328.19
8468.22,3599.93,2330.61
8467.92,3591.83,2333.09
8467.6,3583.75,2335.62
8467.24,3575.68,2338.2
8466.86,3567.63,2340.83
8466.43,3559.59,2343.51
8465.97,3551.58,2346.23
8465.46,3543.58,2348.99
8464.92,3535.6,2351.79
8464.33,3527.64,2354.63
8463.69,3519.7,2357.51
8462.99,3511.79,2360.42
